Rank,Geographical Area,Dollar,Margin of Error
,United States,"60,336",+/-86
1,District of Columbia,"82,372","+/-2,651"
2,Maryland,"80,776",+/-707
3,New Jersey,"80,088",+/-672
4,Hawaii,"77,765","+/-1,795"
5,Massachusetts,"77,385",+/-907
6,Connecticut,"74,168","+/-1,345"
7,New Hampshire,"73,381","+/-1,694"
8,Alaska,"73,181","+/-2,628"
9,California,"71,805",+/-294
10,Virginia,"71,535",+/-544
11,Washington,"70,979",+/-583
12,Colorado,"69,117",+/-780
13,Minnesota,"68,388",+/-658
14,Utah,"68,358","+/-1,229"
15,New York,"64,894",+/-507
16,Rhode Island,"63,870","+/-1,861"
17,Illinois,"62,992",+/-544
18,Delaware,"62,852","+/-2,464"
19,North Dakota,"61,843","+/-1,052"
20,Wyoming,"60,434","+/-1,759"
21,Oregon,"60,212",+/-796
22,Nebraska,"59,970","+/-1,014"
23,Wisconsin,"59,305",+/-587
24,Texas,"59,206",+/-490
25,Pennsylvania,"59,195",+/-443
26,Iowa,"58,570",+/-851
27,Nevada,"58,003",+/-947
28,Vermont,"57,513","+/-2,088"
29,Arizona,"56,581",+/-516
30,South Dakota,"56,521","+/-1,314"
31,Kansas,"56,422",+/-702
32,Maine,"56,277","+/-1,168"
33,Georgia,"56,183",+/-572
34,Michigan,"54,909",+/-440
35,Indiana,"54,181",+/-658
36,Ohio,"54,021",+/-411
37,Missouri,"53,578",+/-629
38,Montana,"53,386","+/-1,427"
39,North Carolina,"52,752",+/-510
40,Florida,"52,594",+/-364
41,Idaho,"52,225",+/-871
42,Tennessee,"51,340",+/-410
43,South Carolina,"50,570",+/-532
44,Oklahoma,"50,051",+/-575
45,Kentucky,"48,375",+/-630
46,Alabama,"48,123",+/-768
47,New Mexico,"46,744","+/-1,195"
48,Louisiana,"46,145",+/-634
49,Arkansas,"45,869",+/-760
50,Mississippi,"43,529",+/-855
51,West Virginia,"43,469","+/-1,393"
