state, expenditure
"United States","$4118"
"Alabama","$3932"
"Alaska","$4566"
"Arizona","$3226"
"Arkansas","$3737"
"California","$3578"
"Colorado","$3769"
"Connecticut","$5185"
"Delaware","$4782"
"District of Columbia","$6313"
"Florida","$4461"
"Georgia","$3606"
"Hawaii","$3883"
"Idaho","$3394"
"Illinois","$4187"
"Indiana","$4026"
"Iowa","$4254"
"Kansas","$4247"
"Kentucky","$4172"
"Louisiana","$4048"
"Maine","$4715"
"Maryland","$4239"
"Massachusetts","$5200"
"Michigan","$4048"
"Minnesota","$4524"
"Mississippi","$3728"
"Missouri","$4177"
"Montana","$3858"
"Nebraska","$4143"
"Nevada","$3448"
"New Hampshire","$4245"
"New Jersey","$4741"
"New Mexico","$3459"
"New York","$5086"
"North Carolina","$3957"
"North Dakota","$4418"
"Ohio","$4226"
"Oklahoma","$3765"
"Oregon","$3752"
"Pennsylvania","$4735"
"Rhode Island","$4810"
"South Carolina","$3862"
"South Dakota","$4161"
"Tennessee","$4104"
"Texas","$3656"
"Utah","$3031"
"Vermont","$4342"
"Virginia","$3671"
"Washington","$3870"
"West Virginia","$4471"
"Wisconsin","$4311"
"Wyoming","$3960"
