state, expenditure
"United States","$3266"
"Alabama","$3163"
"Alaska","$3109"
"Arizona","$2717"
"Arkansas","$2896"
"California","$3056"
"Colorado","$2915"
"Connecticut","$4106"
"Delaware","$3638"
"District of Columbia","$5659"
"Florida","$3547"
"Georgia","$3040"
"Hawaii","$3319"
"Idaho","$2553"
"Illinois","$3340"
"Indiana","$3128"
"Iowa","$3168"
"Kansas","$3217"
"Kentucky","$2989"
"Louisiana","$3329"
"Maine","$3259"
"Maryland","$3407"
"Massachusetts","$4108"
"Michigan","$3291"
"Minnesota","$3355"
"Mississippi","$2850"
"Missouri","$3179"
"Montana","$2850"
"Nebraska","$2958"
"Nevada","$2785"
"New Hampshire","$3146"
"New Jersey","$3749"
"New Mexico","$2740"
"New York","$4021"
"North Carolina","$2959"
"North Dakota","$3490"
"Ohio","$3335"
"Oklahoma","$2996"
"Oregon","$2833"
"Pennsylvania","$3721"
"Rhode Island","$3748"
"South Carolina","$2899"
"South Dakota","$3075"
"Tennessee","$3267"
"Texas","$2871"
"Utah","$2334"
"Vermont","$3045"
"Virginia","$2795"
"Washington","$3013"
"West Virginia","$3457"
"Wisconsin","$3202"
"Wyoming","$2841"
