state, expenditure
"United States","$5094"
"Alabama","$4994"
"Alaska","$6099"
"Arizona","$4077"
"Arkansas","$4616"
"California","$4489"
"Colorado","$4569"
"Connecticut","$6226"
"Delaware","$6164"
"District of Columbia","$7661"
"Florida","$5336"
"Georgia","$4358"
"Hawaii","$4750"
"Idaho","$4252"
"Illinois","$5080"
"Indiana","$5028"
"Iowa","$5211"
"Kansas","$5149"
"Kentucky","$5086"
"Louisiana","$4917"
"Maine","$6086"
"Maryland","$5380"
"Massachusetts","$6606"
"Michigan","$4867"
"Minnesota","$5692"
"Mississippi","$4708"
"Missouri","$5193"
"Montana","$4795"
"Nebraska","$5223"
"Nevada","$4398"
"New Hampshire","$5227"
"New Jersey","$5679"
"New Mexico","$4218"
"New York","$6388"
"North Carolina","$4900"
"North Dakota","$5524"
"Ohio","$5429"
"Oklahoma","$4751"
"Oregon","$4677"
"Pennsylvania","$5813"
"Rhode Island","$6026"
"South Carolina","$4834"
"South Dakota","$5180"
"Tennessee","$5093"
"Texas","$4451"
"Utah","$3859"
"Vermont","$5739"
"Virginia","$4539"
"Washington","$4867"
"West Virginia","$5643"
"Wisconsin","$5409"
"Wyoming","$4990"
