state, expenditure
"United States","$7703"
"Alabama","$6996"
"Alaska","$10428"
"Arizona","$6262"
"Arkansas","$6929"
"California","$7256"
"Colorado","$6472"
"Connecticut","$9517"
"Delaware","$9766"
"District of Columbia","$11466"
"Florida","$7688"
"Georgia","$6249"
"Hawaii","$6955"
"Idaho","$6593"
"Illinois","$7911"
"Indiana","$7923"
"Iowa","$7806"
"Kansas","$7429"
"Kentucky","$7543"
"Louisiana","$7487"
"Maine","$9133"
"Maryland","$8250"
"Massachusetts","$10273"
"Michigan","$7745"
"Minnesota","$8465"
"Mississippi","$7362"
"Missouri","$7860"
"Montana","$7994"
"Nebraska","$8133"
"Nevada","$6275"
"New Hampshire","$9369"
"New Jersey","$8444"
"New Mexico","$6860"
"New York","$9351"
"North Carolina","$7027"
"North Dakota","$9385"
"Ohio","$8286"
"Oklahoma","$7293"
"Oregon","$7467"
"Pennsylvania","$8877"
"Rhode Island","$9160"
"South Carolina","$7020"
"South Dakota","$8547"
"Tennessee","$7106"
"Texas","$6661"
"Utah","$5658"
"Vermont","$9919"
"Virginia","$7306"
"Washington","$7609"
"West Virginia","$8969"
"Wisconsin","$8189"
"Wyoming","$7961"
