state, expenditure
"United States","$6048"
"Alabama","$5755"
"Alaska","$7476"
"Arizona","$5103"
"Arkansas","$5469"
"California","$5397"
"Colorado","$5264"
"Connecticut","$7391"
"Delaware","$7315"
"District of Columbia","$9003"
"Florida","$6284"
"Georgia","$5148"
"Hawaii","$5555"
"Idaho","$5057"
"Illinois","$6034"
"Indiana","$5986"
"Iowa","$6173"
"Kansas","$6040"
"Kentucky","$5977"
"Louisiana","$5944"
"Maine","$7374"
"Maryland","$6530"
"Massachusetts","$8056"
"Michigan","$5924"
"Minnesota","$6663"
"Mississippi","$5792"
"Missouri","$5812"
"Montana","$5743"
"Nebraska","$6374"
"Nevada","$5150"
"New Hampshire","$6733"
"New Jersey","$6727"
"New Mexico","$5258"
"New York","$7518"
"North Carolina","$5853"
"North Dakota","$6573"
"Ohio","$6387"
"Oklahoma","$5680"
"Oregon","$5742"
"Pennsylvania","$6880"
"Rhode Island","$7351"
"South Carolina","$5654"
"South Dakota","$6257"
"Tennessee","$5950"
"Texas","$5276"
"Utah","$4581"
"Vermont","$6934"
"Virginia","$5462"
"Washington","$5729"
"West Virginia","$6706"
"Wisconsin","$6539"
"Wyoming","$6145"
