,state,expend,year
5,California,2993,1994
6,Colorado,2788,1994
7,Connecticut,3851,1994
8,Delaware,3468,1994
9,District of Columbia,5524,1994
10,Florida,3433,1994
11,Georgia,2904,1994
12,Hawaii,3124,1994
13,Idaho,2412,1994
14,Illinois,3202,1994
15,Indiana,3008,1994
16,Iowa,3023,1994
17,Kansas,3034,1994
18,Kentucky,2798,1994
19,Louisiana,3203,1994
20,Maine,2993,1994
21,Maryland,3293,1994
22,Massachusetts,3903,1994
23,Michigan,3097,1994
24,Minnesota,3157,1994
25,Mississippi,2632,1994
26,Missouri,3063,1994
27,Montana,2654,1994
28,Nebraska,2825,1994
29,Nevada,2736,1994
30,New Hampshire,2888,1994
31,New Jersey,3548,1994
32,New Mexico,2569,1994
33,New York,3836,1994
34,North Carolina,2785,1994
35,North Dakota,3220,1994
36,Ohio,3174,1994
37,Oklahoma,2800,1994
38,Oregon,2685,1994
39,Pennsylvania,3537,1994
40,Rhode Island,3390,1994
41,South Carolina,2756,1994
42,South Dakota,2859,1994
43,Tennessee,3059,1994
44,Texas,2719,1994
45,Utah,2223,1994
46,Vermont,2784,1994
47,Virginia,2675,1994
48,Washington,2847,1994
49,West Virginia,3236,1994
50,Wisconsin,3025,1994
51,Wyoming,2634,1994
0,United States,2996,1993
1,Alabama,2854,1993
2,Alaska,2770,1993
3,Arizona,2621,1993
4,Arkansas,2604,1993
5,California,2940,1993
6,Colorado,2713,1993
7,Connecticut,3651,1993
8,Delaware,3234,1993
9,District of Columbia,5443,1993
10,Florida,3312,1993
11,Georgia,2826,1993
12,Hawaii,2932,1993
13,Idaho,2352,1993
14,Illinois,3062,1993
15,Indiana,2919,1993
16,Iowa,2867,1993
17,Kansas,2873,1993
18,Kentucky,2697,1993
19,Louisiana,3051,1993
20,Maine,2871,1993
21,Maryland,3123,1993
22,Massachusetts,3772,1993
23,Michigan,2937,1993
24,Minnesota,2954,1993
25,Mississippi,2475,1993
26,Missouri,2881,1993
27,Montana,2589,1993
28,Nebraska,2677,1993
29,Nevada,2619,1993
30,New Hampshire,2772,1993
31,New Jersey,3346,1993
32,New Mexico,2487,1993
33,New York,3648,1993
34,North Carolina,2621,1993
35,North Dakota,3027,1993
36,Ohio,3054,1993
37,Oklahoma,2632,1993
38,Oregon,2601,1993
39,Pennsylvania,3415,1993
40,Rhode Island,3345,1993
41,South Carolina,2603,1993
42,South Dakota,2664,1993
43,Tennessee,2952,1993
44,Texas,2653,1993
45,Utah,2182,1993
46,Vermont,2634,1993
47,Virginia,2555,1993
48,Washington,2751,1993
49,West Virginia,3054,1993
50,Wisconsin,2878,1993
51,Wyoming,2475,1993
0,United States,2852,1992
1,Alabama,2716,1992
2,Alaska,2646,1992
3,Arizona,2506,1992
4,Arkansas,2493,1992
5,California,2839,1992
6,Colorado,2636,1992
7,Connecticut,3525,1992
8,Delaware,3038,1992
9,District of Columbia,5184,1992
10,Florida,3153,1992
11,Georgia,2671,1992
12,Hawaii,2730,1992
13,Idaho,2254,1992
14,Illinois,2918,1992
15,Indiana,2741,1992
16,Iowa,2733,1992
17,Kansas,2765,1992
18,Kentucky,2575,1992
19,Louisiana,2862,1992
20,Maine,2685,1992
21,Maryland,2951,1992
22,Massachusetts,3528,1992
23,Michigan,2789,1992
24,Minnesota,2802,1992
25,Mississippi,2310,1992
26,Missouri,2730,1992
27,Montana,2508,1992
28,Nebraska,2552,1992
29,Nevada,2564,1992
30,New Hampshire,2681,1992
31,New Jersey,3197,1992
32,New Mexico,2396,1992
33,New York,3435,1992
34,North Carolina,2444,1992
35,North Dakota,2891,1992
36,Ohio,2895,1992
37,Oklahoma,2539,1992
38,Oregon,2493,1992
39,Pennsylvania,3250,1992
40,Rhode Island,3165,1992
41,South Carolina,2439,1992
42,South Dakota,2560,1992
43,Tennessee,2768,1992
44,Texas,2531,1992
45,Utah,2066,1992
46,Vermont,2481,1992
47,Virginia,2432,1992
48,Washington,2685,1992
49,West Virginia,2856,1992
50,Wisconsin,2720,1992
51,Wyoming,2289,1992
0,United States,2672,1991
1,Alabama,2535,1991
2,Alaska,2558,1991
3,Arizona,2447,1991
4,Arkansas,2363,1991
5,California,2673,1991
6,Colorado,2498,1991
7,Connecticut,3315,1991
8,Delaware,2837,1991
9,District of Columbia,4660,1991
10,Florida,2949,1991
11,Georgia,2497,1991
12,Hawaii,2603,1991
13,Idaho,2125,1991
14,Illinois,2729,1991
15,Indiana,2541,1991
16,Iowa,2591,1991
17,Kansas,2613,1991
18,Kentucky,2385,1991
19,Louisiana,2647,1991
20,Maine,2548,1991
21,Maryland,2786,1991
22,Massachusetts,3326,1991
23,Michigan,2663,1991
24,Minnesota,2698,1991
25,Mississippi,2174,1991
26,Missouri,2516,1991
27,Montana,2355,1991
28,Nebraska,2375,1991
29,Nevada,2381,1991
30,New Hampshire,2457,1991
31,New Jersey,2956,1991
32,New Mexico,2240,1991
33,New York,3205,1991
34,North Carolina,2263,1991
35,North Dakota,2688,1991
36,Ohio,2681,1991
37,Oklahoma,2366,1991
38,Oregon,2308,1991
39,Pennsylvania,3019,1991
40,Rhode Island,2936,1991
41,South Carolina,2262,1991
42,South Dakota,2426,1991
43,Tennessee,2556,1991
44,Texas,2355,1991
45,Utah,1979,1991
46,Vermont,2340,1991
47,Virginia,2353,1991
48,Washington,2522,1991
49,West Virginia,2597,1991
50,Wisconsin,2557,1991
51,Wyoming,2227,1991
