state, expenditure
"United States","$7535"
"Alabama","$6821"
"Alaska","$10130"
"Arizona","$6183"
"Arkansas","$6804"
"California","$7018"
"Colorado","$6306"
"Connecticut","$9300"
"Delaware","$9433"
"District of Columbia","$11223"
"Florida","$7635"
"Georgia","$6009"
"Hawaii","$6803"
"Idaho","$6380"
"Illinois","$7665"
"Indiana","$7848"
"Iowa","$7648"
"Kansas","$7477"
"Kentucky","$7289"
"Louisiana","$7303"
"Maine","$9001"
"Maryland","$8115"
"Massachusetts","$10071"
"Michigan","$7637"
"Minnesota","$8177"
"Mississippi","$7369"
"Missouri","$7758"
"Montana","$7645"
"Nebraska","$7979"
"Nevada","$6026"
"New Hampshire","$9048"
"New Jersey","$8269"
"New Mexico","$6771"
"New York","$9076"
"North Carolina","$7073"
"North Dakota","$8977"
"Ohio","$8072"
"Oklahoma","$7175"
"Oregon","$7119"
"Pennsylvania","$8632"
"Rhode Island","$8961"
"South Carolina","$6853"
"South Dakota","$8335"
"Tennessee","$7007"
"Texas","$6559"
"Utah","$5543"
"Vermont","$9302"
"Virginia","$7145"
"Washington","$7461"
"West Virginia","$8764"
"Wisconsin","$8061"
"Wyoming","$7833"
