state, expenditure
"United States","$6612"
"Alabama","$6097"
"Alaska","$8447"
"Arizona","$5660"
"Arkansas","$6000"
"California","$6038"
"Colorado","$5685"
"Connecticut","$8219"
"Delaware","$8136"
"District of Columbia","$9959"
"Florida","$6854"
"Georgia","$5358"
"Hawaii","$6382"
"Idaho","$5459"
"Illinois","$6653"
"Indiana","$6413"
"Iowa","$6691"
"Kansas","$6589"
"Kentucky","$6360"
"Louisiana","$6618"
"Maine","$8061"
"Maryland","$7200"
"Massachusetts","$9006"
"Michigan","$6517"
"Minnesota","$7230"
"Mississippi","$6422"
"Missouri","$6692"
"Montana","$6373"
"Nebraska","$6981"
"Nevada","$5618"
"New Hampshire","$7574"
"New Jersey","$7319"
"New Mexico","$5916"
"New York","$8098"
"North Carolina","$6213"
"North Dakota","$7439"
"Ohio","$6846"
"Oklahoma","$6366"
"Oregon","$6206"
"Pennsylvania","$7489"
"Rhode Island","$8079"
"South Carolina","$6159"
"South Dakota","$6953"
"Tennessee","$6305"
"Texas","$5758"
"Utah","$4990"
"Vermont","$7623"
"Virginia","$6104"
"Washington","$6487"
"West Virginia","$7326"
"Wisconsin","$7169"
"Wyoming","$6811"
