state, expenditure
"United States","$3117"
"Alabama","$2991"
"Alaska","$2865"
"Arizona","$2677"
"Arkansas","$2731"
"California","$2993"
"Colorado","$2788"
"Connecticut","$3851"
"Delaware","$3468"
"District of Columbia","$5524"
"Florida","$3433"
"Georgia","$2904"
"Hawaii","$3124"
"Idaho","$2412"
"Illinois","$3202"
"Indiana","$3008"
"Iowa","$3023"
"Kansas","$3034"
"Kentucky","$2798"
"Louisiana","$3203"
"Maine","$2993"
"Maryland","$3293"
"Massachusetts","$3903"
"Michigan","$3097"
"Minnesota","$3157"
"Mississippi","$2632"
"Missouri","$3063"
"Montana","$2654"
"Nebraska","$2825"
"Nevada","$2736"
"New Hampshire","$2888"
"New Jersey","$3548"
"New Mexico","$2569"
"New York","$3836"
"North Carolina","$2785"
"North Dakota","$3220"
"Ohio","$3174"
"Oklahoma","$2800"
"Oregon","$2685"
"Pennsylvania","$3537"
"Rhode Island","$3390"
"South Carolina","$2756"
"South Dakota","$2859"
"Tennessee","$3059"
"Texas","$2719"
"Utah","$2223"
"Vermont","$2784"
"Virginia","$2675"
"Washington","$2847"
"West Virginia","$3236"
"Wisconsin","$3025"
"Wyoming","$2634"
