state, expenditure
"United States","$3720"
"Alabama","$3601"
"Alaska","$3848"
"Arizona","$2962"
"Arkansas","$3356"
"California","$3372"
"Colorado","$3350"
"Connecticut","$4738"
"Delaware","$4201"
"District of Columbia","$6124"
"Florida","$3975"
"Georgia","$3367"
"Hawaii","$3659"
"Idaho","$3019"
"Illinois","$3788"
"Indiana","$3596"
"Iowa","$3809"
"Kansas","$3785"
"Kentucky","$3597"
"Louisiana","$3723"
"Maine","$4091"
"Maryland","$3754"
"Massachusetts","$4810"
"Michigan","$3698"
"Minnesota","$4008"
"Mississippi","$3328"
"Missouri","$3726"
"Montana","$3349"
"Nebraska","$3554"
"Nevada","$3073"
"New Hampshire","$3769"
"New Jersey","$4224"
"New Mexico","$3172"
"New York","$4617"
"North Carolina","$3441"
"North Dakota","$4023"
"Ohio","$3759"
"Oklahoma","$3401"
"Oregon","$3391"
"Pennsylvania","$4187"
"Rhode Island","$4325"
"South Carolina","$3425"
"South Dakota","$3657"
"Tennessee","$3716"
"Texas","$3329"
"Utah","$2765"
"Vermont","$3618"
"Virginia","$3245"
"Washington","$3422"
"West Virginia","$4045"
"Wisconsin","$3707"
"Wyoming","$3444"
