state, expenditure
"United States","$4755"
"Alabama","$4511"
"Alaska","$5669"
"Arizona","$3779"
"Arkansas","$4360"
"California","$4126"
"Colorado","$4259"
"Connecticut","$5944"
"Delaware","$5535"
"District of Columbia","$7185"
"Florida","$5027"
"Georgia","$4135"
"Hawaii","$4407"
"Idaho","$4008"
"Illinois","$4795"
"Indiana","$4662"
"Iowa","$4844"
"Kansas","$4853"
"Kentucky","$4828"
"Louisiana","$4561"
"Maine","$5580"
"Maryland","$4985"
"Massachusetts","$6127"
"Michigan","$4551"
"Minnesota","$5319"
"Mississippi","$4415"
"Missouri","$4855"
"Montana","$4463"
"Nebraska","$4873"
"Nevada","$4094"
"New Hampshire","$4818"
"New Jersey","$5387"
"New Mexico","$3992"
"New York","$5884"
"North Carolina","$4578"
"North Dakota","$5324"
"Ohio","$5048"
"Oklahoma","$4360"
"Oregon","$4399"
"Pennsylvania","$5413"
"Rhode Island","$5607"
"South Carolina","$4549"
"South Dakota","$4834"
"Tennessee","$4702"
"Texas","$4256"
"Utah","$3610"
"Vermont","$5169"
"Virginia","$4186"
"Washington","$4528"
"West Virginia","$5258"
"Wisconsin","$5085"
"Wyoming","$4692"
