state, expenditure
"United States","$4428"
"Alabama","$4168"
"Alaska","$5169"
"Arizona","$3438"
"Arkansas","$4030"
"California","$3838"
"Colorado","$3992"
"Connecticut","$5560"
"Delaware","$5091"
"District of Columbia","$6663"
"Florida","$4745"
"Georgia","$3806"
"Hawaii","$4104"
"Idaho","$3651"
"Illinois","$4465"
"Indiana","$4344"
"Iowa","$4574"
"Kansas","$4556"
"Kentucky","$4473"
"Louisiana","$4289"
"Maine","$5129"
"Maryland","$4604"
"Massachusetts","$5628"
"Michigan","$4287"
"Minnesota","$4898"
"Mississippi","$4087"
"Missouri","$4467"
"Montana","$4208"
"Nebraska","$4562"
"Nevada","$3717"
"New Hampshire","$4522"
"New Jersey","$4990"
"New Mexico","$3717"
"New York","$5480"
"North Carolina","$4363"
"North Dakota","$4836"
"Ohio","$4661"
"Oklahoma","$4106"
"Oregon","$4155"
"Pennsylvania","$5091"
"Rhode Island","$5188"
"South Carolina","$4238"
"South Dakota","$4379"
"Tennessee","$4494"
"Texas","$3941"
"Utah","$3293"
"Vermont","$4722"
"Virginia","$3857"
"Washington","$4171"
"West Virginia","$4887"
"Wisconsin","$4752"
"Wyoming","$4270"
