state, expenditure
"United States","$3893"
"Alabama","$3714"
"Alaska","$4112"
"Arizona","$3095"
"Arkansas","$3547"
"California","$3464"
"Colorado","$3494"
"Connecticut","$4957"
"Delaware","$4567"
"District of Columbia","$6275"
"Florida","$4157"
"Georgia","$3457"
"Hawaii","$3776"
"Idaho","$3177"
"Illinois","$3936"
"Indiana","$3804"
"Iowa","$4024"
"Kansas","$4004"
"Kentucky","$3835"
"Louisiana","$3909"
"Maine","$4424"
"Maryland","$3994"
"Massachusetts","$4909"
"Michigan","$3845"
"Minnesota","$4201"
"Mississippi","$3434"
"Missouri","$3906"
"Montana","$3592"
"Nebraska","$3790"
"Nevada","$3230"
"New Hampshire","$4015"
"New Jersey","$4382"
"New Mexico","$3320"
"New York","$4855"
"North Carolina","$3670"
"North Dakota","$4165"
"Ohio","$3954"
"Oklahoma","$3569"
"Oregon","$3565"
"Pennsylvania","$4458"
"Rhode Island","$4514"
"South Carolina","$3634"
"South Dakota","$3954"
"Tennessee","$3849"
"Texas","$3496"
"Utah","$2795"
"Vermont","$3950"
"Virginia","$3387"
"Washington","$3681"
"West Virginia","$4234"
"Wisconsin","$4008"
"Wyoming","$3626"
