state, expenditure
"United States","$6370"
"Alabama","$5928"
"Alaska","$7975"
"Arizona","$5410"
"Arkansas","$5766"
"California","$5776"
"Colorado","$5522"
"Connecticut","$7793"
"Delaware","$7726"
"District of Columbia","$9562"
"Florida","$6585"
"Georgia","$5329"
"Hawaii","$6098"
"Idaho","$5309"
"Illinois","$6454"
"Indiana","$6279"
"Iowa","$6444"
"Kansas","$6352"
"Kentucky","$6201"
"Louisiana","$6292"
"Maine","$7718"
"Maryland","$6907"
"Massachusetts","$8638"
"Michigan","$6254"
"Minnesota","$7038"
"Mississippi","$6175"
"Missouri","$6323"
"Montana","$6083"
"Nebraska","$6663"
"Nevada","$5430"
"New Hampshire","$7194"
"New Jersey","$7098"
"New Mexico","$5572"
"New York","$7872"
"North Carolina","$6014"
"North Dakota","$7010"
"Ohio","$6660"
"Oklahoma","$6033"
"Oregon","$5981"
"Pennsylvania","$7246"
"Rhode Island","$7751"
"South Carolina","$5889"
"South Dakota","$6579"
"Tennessee","$6219"
"Texas","$5495"
"Utah","$4799"
"Vermont","$7295"
"Virginia","$5776"
"Washington","$6128"
"West Virginia","$7086"
"Wisconsin","$6867"
"Wyoming","$6545"
