state, expenditure
"United States","$7094"
"Alabama","$6421"
"Alaska","$9129"
"Arizona","$6027"
"Arkansas","$6412"
"California","$6480"
"Colorado","$5979"
"Connecticut","$8863"
"Delaware","$8822"
"District of Columbia","$10876"
"Florida","$7301"
"Georgia","$5554"
"Hawaii","$6496"
"Idaho","$5999"
"Illinois","$7253"
"Indiana","$6987"
"Iowa","$7177"
"Kansas","$6858"
"Kentucky","$6898"
"Louisiana","$7227"
"Maine","$8539"
"Maryland","$7748"
"Massachusetts","$9619"
"Michigan","$7121"
"Minnesota","$7782"
"Mississippi","$6642"
"Missouri","$7114"
"Montana","$7034"
"Nebraska","$7524"
"Nevada","$5790"
"New Hampshire","$8466"
"New Jersey","$7778"
"New Mexico","$6439"
"New York","$8795"
"North Carolina","$6615"
"North Dakota","$8325"
"Ohio","$7525"
"Oklahoma","$6648"
"Oregon","$6729"
"Pennsylvania","$8121"
"Rhode Island","$8569"
"South Carolina","$6554"
"South Dakota","$7704"
"Tennessee","$6626"
"Texas","$6162"
"Utah","$5171"
"Vermont","$8488"
"Virginia","$6610"
"Washington","$6981"
"West Virginia","$7960"
"Wisconsin","$7709"
"Wyoming","$7301"
