state, expenditure
"United States","$6892"
"Alabama","$6325"
"Alaska","$8745"
"Arizona","$5874"
"Arkansas","$6238"
"California","$6210"
"Colorado","$5882"
"Connecticut","$8740"
"Delaware","$8405"
"District of Columbia","$10439"
"Florida","$7134"
"Georgia","$5513"
"Hawaii","$6542"
"Idaho","$5700"
"Illinois","$6917"
"Indiana","$6791"
"Iowa","$6946"
"Kansas","$6764"
"Kentucky","$6698"
"Louisiana","$6958"
"Maine","$8359"
"Maryland","$7507"
"Massachusetts","$9417"
"Michigan","$6816"
"Minnesota","$7521"
"Mississippi","$6615"
"Missouri","$6902"
"Montana","$6701"
"Nebraska","$7193"
"Nevada","$5700"
"New Hampshire","$8134"
"New Jersey","$7727"
"New Mexico","$6214"
"New York","$8542"
"North Carolina","$6533"
"North Dakota","$7919"
"Ohio","$7322"
"Oklahoma","$6504"
"Oregon","$6484"
"Pennsylvania","$7701"
"Rhode Island","$8393"
"South Carolina","$6363"
"South Dakota","$7335"
"Tennessee","$6499"
"Texas","$6004"
"Utah","$5101"
"Vermont","$8111"
"Virginia","$6452"
"Washington","$6838"
"West Virginia","$7772"
"Wisconsin","$7512"
"Wyoming","$6972"
