state, expenditure
"United States","$2852"
"Alabama","$2716"
"Alaska","$2646"
"Arizona","$2506"
"Arkansas","$2493"
"California","$2839"
"Colorado","$2636"
"Connecticut","$3525"
"Delaware","$3038"
"District of Columbia","$5184"
"Florida","$3153"
"Georgia","$2671"
"Hawaii","$2730"
"Idaho","$2254"
"Illinois","$2918"
"Indiana","$2741"
"Iowa","$2733"
"Kansas","$2765"
"Kentucky","$2575"
"Louisiana","$2862"
"Maine","$2685"
"Maryland","$2951"
"Massachusetts","$3528"
"Michigan","$2789"
"Minnesota","$2802"
"Mississippi","$2310"
"Missouri","$2730"
"Montana","$2508"
"Nebraska","$2552"
"Nevada","$2564"
"New Hampshire","$2681"
"New Jersey","$3197"
"New Mexico","$2396"
"New York","$3435"
"North Carolina","$2444"
"North Dakota","$2891"
"Ohio","$2895"
"Oklahoma","$2539"
"Oregon","$2493"
"Pennsylvania","$3250"
"Rhode Island","$3165"
"South Carolina","$2439"
"South Dakota","$2560"
"Tennessee","$2768"
"Texas","$2531"
"Utah","$2066"
"Vermont","$2481"
"Virginia","$2432"
"Washington","$2685"
"West Virginia","$2856"
"Wisconsin","$2720"
"Wyoming","$2289"
