state, expenditure
"United States","$7292"
"Alabama","$6541"
"Alaska","$9586"
"Arizona","$6076"
"Arkansas","$6585"
"California","$6737"
"Colorado","$6129"
"Connecticut","$8950"
"Delaware","$9213"
"District of Columbia","$11281"
"Florida","$7408"
"Georgia","$5713"
"Hawaii","$6527"
"Idaho","$6135"
"Illinois","$7429"
"Indiana","$7286"
"Iowa","$7416"
"Kansas","$7152"
"Kentucky","$7142"
"Louisiana","$7161"
"Maine","$8824"
"Maryland","$7937"
"Massachusetts","$9818"
"Michigan","$7406"
"Minnesota","$7968"
"Mississippi","$6833"
"Missouri","$7441"
"Montana","$7301"
"Nebraska","$7715"
"Nevada","$5959"
"New Hampshire","$8766"
"New Jersey","$7947"
"New Mexico","$6567"
"New York","$9016"
"North Carolina","$6808"
"North Dakota","$8758"
"Ohio","$7652"
"Oklahoma","$6921"
"Oregon","$6971"
"Pennsylvania","$8432"
"Rhode Island","$8782"
"South Carolina","$6707"
"South Dakota","$8065"
"Tennessee","$6742"
"Texas","$6328"
"Utah","$5341"
"Vermont","$8874"
"Virginia","$6877"
"Washington","$7119"
"West Virginia","$8268"
"Wisconsin","$7971"
"Wyoming","$7554"
