state, expenditure
"United States","$5740"
"Alabama","$5545"
"Alaska","$7145"
"Arizona","$4828"
"Arkansas","$5254"
"California","$5107"
"Colorado","$4937"
"Connecticut","$6997"
"Delaware","$6980"
"District of Columbia","$8764"
"Florida","$5957"
"Georgia","$4891"
"Hawaii","$5389"
"Idaho","$4799"
"Illinois","$5690"
"Indiana","$5637"
"Iowa","$5816"
"Kansas","$5786"
"Kentucky","$5668"
"Louisiana","$5433"
"Maine","$7001"
"Maryland","$6064"
"Massachusetts","$7484"
"Michigan","$5528"
"Minnesota","$6332"
"Mississippi","$5387"
"Missouri","$5674"
"Montana","$5432"
"Nebraska","$5956"
"Nevada","$4932"
"New Hampshire","$6271"
"New Jersey","$6434"
"New Mexico","$5021"
"New York","$7096"
"North Carolina","$5559"
"North Dakota","$6205"
"Ohio","$6125"
"Oklahoma","$5366"
"Oregon","$5395"
"Pennsylvania","$6596"
"Rhode Island","$7020"
"South Carolina","$5403"
"South Dakota","$5885"
"Tennessee","$5773"
"Texas","$5060"
"Utah","$4399"
"Vermont","$6568"
"Virginia","$5167"
"Washington","$5450"
"West Virginia","$6396"
"Wisconsin","$6144"
"Wyoming","$5683"
