state, expenditure
"United States","$5423"
"Alabama","$5252"
"Alaska","$6455"
"Arizona","$4387"
"Arkansas","$4899"
"California","$4781"
"Colorado","$4831"
"Connecticut","$6739"
"Delaware","$6618"
"District of Columbia","$8394"
"Florida","$5690"
"Georgia","$4732"
"Hawaii","$5018"
"Idaho","$4492"
"Illinois","$5362"
"Indiana","$5407"
"Iowa","$5486"
"Kansas","$5489"
"Kentucky","$5405"
"Louisiana","$5262"
"Maine","$6580"
"Maryland","$5737"
"Massachusetts","$7029"
"Michigan","$5239"
"Minnesota","$6025"
"Mississippi","$5091"
"Missouri","$5453"
"Montana","$5061"
"Nebraska","$5596"
"Nevada","$4701"
"New Hampshire","$5732"
"New Jersey","$6006"
"New Mexico","$4603"
"New York","$6783"
"North Carolina","$5265"
"North Dakota","$5880"
"Ohio","$5793"
"Oklahoma","$4971"
"Oregon","$5034"
"Pennsylvania","$6191"
"Rhode Island","$6498"
"South Carolina","$5138"
"South Dakota","$5425"
"Tennessee","$5523"
"Texas","$4679"
"Utah","$4144"
"Vermont","$6134"
"Virginia","$4878"
"Washington","$5127"
"West Virginia","$6034"
"Wisconsin","$5782"
"Wyoming","$5287"
