state, expenditure
"United States","$3556"
"Alabama","$3540"
"Alaska","$3654"
"Arizona","$2833"
"Arkansas","$3227"
"California","$3192"
"Colorado","$3129"
"Connecticut","$4463"
"Delaware","$4027"
"District of Columbia","$5943"
"Florida","$3866"
"Georgia","$3250"
"Hawaii","$3518"
"Idaho","$2857"
"Illinois","$3623"
"Indiana","$3395"
"Iowa","$3522"
"Kansas","$3578"
"Kentucky","$3424"
"Louisiana","$3601"
"Maine","$3787"
"Maryland","$3702"
"Massachusetts","$4513"
"Michigan","$3625"
"Minnesota","$3703"
"Mississippi","$3222"
"Missouri","$3514"
"Montana","$3157"
"Nebraska","$3333"
"Nevada","$2954"
"New Hampshire","$3527"
"New Jersey","$4027"
"New Mexico","$3063"
"New York","$4378"
"North Carolina","$3339"
"North Dakota","$3769"
"Ohio","$3631"
"Oklahoma","$3265"
"Oregon","$3092"
"Pennsylvania","$4026"
"Rhode Island","$4083"
"South Carolina","$3284"
"South Dakota","$3487"
"Tennessee","$3604"
"Texas","$3204"
"Utah","$2689"
"Vermont","$3393"
"Virginia","$3113"
"Washington","$3168"
"West Virginia","$3865"
"Wisconsin","$3537"
"Wyoming","$3203"
