,States,1990,1995,2000,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
35,Arizona,0.101,0.136,0.174,0.209,0.212,0.218,0.228,0.236,0.284,0.254,0.254,0.262,0.260,0.267,0.277,0.268,0.277,0.284
35,Oregon,0.101,0.135,0.173,0.208,0.210,0.217,0.227,0.236,0.284,0.251,0.254,0.257,0.257,0.265,0.276,0.267,0.274,0.284
35,Wyoming,0.099,0.134,0.171,0.203,0.209,0.217,0.225,0.235,0.284,0.251,0.254,0.254,0.257,0.264,0.274,0.264,0.274,0.284
38,Minnesota,0.099,0.131,0.171,0.202,0.207,0.217,0.224,0.233,0.281,0.251,0.253,0.254,0.257,0.264,0.273,0.263,0.274,0.281
39,Nevada,0.093,0.130,0.170,0.202,0.205,0.215,0.224,0.233,0.277,0.250,0.250,0.250,0.256,0.263,0.270,0.261,0.271,0.277
40,California,0.093,0.129,0.170,0.201,0.203,0.214,0.222,0.233,0.276,0.250,0.248,0.247,0.252,0.262,0.270,0.260,0.266,0.276
41,New York,0.090,0.129,0.169,0.201,0.203,0.212,0.222,0.231,0.273,0.244,0.247,0.246,0.250,0.255,0.269,0.256,0.266,0.273
42,Rhode Island,0.089,0.128,0.166,0.201,0.201,0.210,0.220,0.229,0.269,0.239,0.243,0.245,0.246,0.254,0.264,0.253,0.260,0.269
43,New Jersey,0.084,0.128,0.164,0.199,0.199,0.208,0.217,0.221,0.267,0.235,0.241,0.245,0.246,0.250,0.263,0.251,0.258,0.267
44,Montana,0.081,0.126,0.161,0.199,0.196,0.208,0.211,0.218,0.259,0.232,0.238,0.245,0.243,0.247,0.262,0.250,0.255,0.259
45,Vermont,0.069,0.123,0.160,0.196,0.191,0.199,0.207,0.217,0.257,0.229,0.235,0.244,0.243,0.246,0.257,0.245,0.255,0.257
46,Utah,,0.120,0.160,0.191,0.191,0.196,0.205,0.214,0.253,0.228,0.234,0.238,0.237,0.241,0.248,0.243,0.254,0.253
47,Hawaii,,0.118,0.157,0.188,0.189,0.195,0.201,0.211,0.253,0.226,0.231,0.237,0.236,0.241,0.247,0.242,0.250,0.253
48,Massachusetts,,0.116,0.156,0.184,0.186,0.195,0.201,0.209,0.251,0.217,0.223,0.237,0.236,0.236,0.233,0.236,0.238,0.251
49,Connecticut,,0.116,0.153,0.168,0.178,0.186,0.200,0.208,0.238,0.215,0.218,0.227,0.229,0.229,0.221,0.227,0.236,0.238
50,District of Columbia,,0.107,0.149,0.164,0.164,0.182,0.198,0.207,0.230,0.214,0.217,0.218,0.219,0.218,0.217,0.221,0.226,0.230
51,Colorado,,0.106,0.145,0.160,,0.169,0.176,0.184,0.226,0.191,0.198,0.207,0.205,0.213,0.213,0.202,0.223,0.226
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
